# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanPoisson4_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanPoisson4_1.data.R
# init = 2 (Default)
# random
#   seed = 2089485083
# output
#   file = CmdStanPoisson4_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a0,a0s.1,a0s.2,a0s.3,a0s.4,a0s.5,a0s.6,a0s.7,a0s.8,a0s.9,a0s.10,a1,a0_sig
12664.8,0.844857,0.00210039,6,127,0,-12652.9,0.439967,0.109705,-0.26153,0.199521,0.261826,-0.394859,0.163555,0.366665,-0.0775994,-0.0357068,0.252574,0.539645,0.270691
12665,0.968854,0.00244265,7,255,0,-12659.6,0.419499,-0.0408227,-0.140509,0.0978035,0.0338469,-0.350005,0.209457,0.329331,-0.139475,-0.00685932,0.283549,0.548725,0.219766
12666.2,0.140105,0.00373001,6,63,0,-12660,0.387503,0.0394386,-0.109897,0.127481,0.120081,-0.376145,0.273144,0.275795,-0.104564,-0.114873,0.246069,0.554023,0.226803
12665,0.989826,0.00091502,10,1023,0,-12656.7,-0.78996,-0.166557,-0.151997,-0.167785,-0.0779905,-0.527368,0.301134,0.0671865,-0.151831,-0.227119,0.240522,0.689899,0.24719
12661.3,0.993781,0.00146328,8,255,0,-12653,-0.772875,-0.131895,-0.162651,-0.0632296,0.105192,-0.546938,0.572979,0.0882717,-0.177695,-0.292425,0.307731,0.68568,0.307092
12662.1,0.82837,0.00234686,7,255,0,-12654.7,-0.728556,0.0581163,-0.00183884,0.0776739,0.112489,-0.304659,0.249775,0.250649,0.0729924,-0.0723995,0.408098,0.667699,0.272275
12662.3,0.787573,0.0026174,7,127,0,-12654.6,-0.778088,-0.0630583,0.0976057,-0.0110845,0.195837,-0.368799,0.62545,0.21517,-0.00694765,-0.127728,0.277632,0.676544,0.279865
12659.2,0.781773,0.00267007,7,127,0,-12654.8,-0.536407,0.0459527,0.252047,0.0586426,0.0930155,-0.382927,0.29261,0.285939,-0.0508982,-0.0676717,0.548417,0.641981,0.334675
12664.6,0.960781,0.00268904,8,383,0,-12652.9,-0.481662,-0.1393,-0.0535584,-0.0601052,-0.0392328,-0.367831,0.384966,0.065666,-0.118157,-0.210034,0.233623,0.654084,0.219096
12662.9,0.676489,0.00396118,6,127,0,-12659.9,-0.393339,-0.0143203,0.12601,-0.00618173,0.138744,-0.546238,0.236489,0.24161,-0.1085,-0.147825,0.320881,0.640449,0.227015
