# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanGaussian5_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanGaussian5_1.data.R
# init = 2 (Default)
# random
#   seed = 1750850501
# output
#   file = CmdStanGaussian5_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
-4985.01,0.98112,0.385927,2,3,0,4985.15,-0.0135955,0.99926
-4984.56,0.899806,0.609252,2,3,0,4985.24,-0.0031426,0.996159
-4985.58,0.212729,0.788063,2,7,0,4988.65,-0.0153566,0.992401
-4984.99,1,0.804501,1,1,0,4985.48,-0.0119648,0.994897
-4984.99,0,11.5732,0,1,1,4984.99,-0.0119648,0.994897
-4984.99,3.13998e-32,1.95588,1,1,0,4986.69,-0.0119648,0.994897
-4985.15,0.996455,0.192912,3,11,0,4985.51,0.00742051,1.00027
-4986.4,0.942147,0.258296,3,7,0,4988.16,0.0061255,1.01052
-4987.02,0.983723,0.339791,2,7,0,4987.43,0.0115674,1.01035
-4986.23,0.946064,0.547568,2,3,0,4987.78,-0.0141006,0.987835
-4987.1,0.545427,0.825145,2,3,0,4988.83,0.015392,1.00751
-4985.19,1,0.362684,2,3,0,4987.11,0.00803796,0.998233
-4985.44,0.896368,0.671909,2,3,0,4986.21,-0.0167076,0.995784
-4985.29,0.988857,0.908159,2,3,0,4985.8,-0.00394931,1.00739
-4985.29,0.002874,1.65315,1,1,0,4986.7,-0.00394931,1.00739
-4985.43,0.999015,0.13495,3,7,0,4985.55,-0.00325707,1.00816
-4984.61,0.986605,0.256451,2,7,0,4986.42,0.000827695,0.997835
-4985.25,0.941364,0.467641,2,3,0,4985.44,-0.0133693,1.00372
-4984.84,0.912682,0.737776,2,3,0,4985.54,0.0045269,0.998238
-4985.48,0.800669,1.06093,3,9,0,4985.52,0.00818872,0.993421
-4985.2,1,1.07916,1,1,0,4985.55,0.00168235,1.00599
-4985.2,3.33494e-06,2.00945,1,3,1,4985.36,0.00168235,1.00599
-4984.9,0.960108,0.183433,2,7,0,4988.7,0.00240937,0.993938
-4985.02,0.986527,0.304991,3,7,0,4985.54,0.00536396,1.00179
-4985.45,0.935512,0.544085,1,1,0,4985.45,0.00878141,1.00263
-4986.75,0.568986,0.828097,2,3,0,4987.93,-0.00544956,1.01358
-4986.33,1,0.431393,1,1,0,4986.82,-0.00390155,1.01212
-4984.6,1,0.787094,2,3,0,4985.67,-0.00768302,0.999674
-4984.55,1,1.42173,1,1,0,4984.56,-0.000645083,0.999014
-4984.55,1.05803e-29,2.54264,1,1,0,4985.1,-0.000645083,0.999014
-4984.61,0.997906,0.271444,3,7,0,4984.67,-0.00214909,1.00155
-4985.01,0.916029,0.484712,2,7,0,4985.99,-0.0136879,0.998862
-4984.56,0.99761,0.683731,2,3,0,4985.06,-0.00320569,0.996236
-4986.22,0.21687,1.19905,1,1,0,4986.7,0.00640054,0.98766
-4984.96,1,0.249945,3,7,0,4986.33,0.00548473,0.996721
-4984.57,0.911931,0.440724,1,3,0,4986.42,-0.00724669,0.997932
-4984.61,0.973139,0.608529,1,3,0,4984.77,-0.00266176,1.00162
-4984.61,0.410125,0.983061,1,1,0,4985.27,-0.00266176,1.00162
-4984.71,0.962059,0.358616,2,7,0,4985.65,0.00224151,0.996686
-4984.99,0.947806,0.560859,2,3,0,4985.28,-0.0120552,1.0021
-4984.96,0.997322,0.839463,2,3,0,4985.18,-0.00920601,1.00397
-4984.96,0.000194511,1.41795,1,1,0,4985.54,-0.00920601,1.00397
-4984.83,0.998809,0.187068,4,15,0,4985.48,-0.00198933,0.992919
-4984.57,0.992334,0.318205,2,7,0,4985.12,-0.00414287,0.996089
-4984.6,0.997044,0.528291,2,3,0,4984.64,-0.00606281,1.00108
-4985.03,0.554715,0.880767,2,3,0,4986.12,0.00551952,0.995366
-4985.78,0.94003,0.487791,3,7,0,4986.05,-0.0149628,1.00657
-4985.56,1,0.702052,1,1,0,4985.98,-0.0137817,1.00595
-4985.56,0.0209454,1.16347,1,1,0,4986.75,-0.0137817,1.00595
-4985.27,1,0.178687,3,7,0,4985.69,-0.0141566,1.00313
-4985.31,0.973878,0.296808,3,7,0,4986.78,0.000578463,1.007
-4985.34,0.96444,0.459925,2,3,0,4986,-0.00399322,1.00769
-4984.74,1,0.692708,1,1,0,4985.18,-0.00609108,1.00299
-4985.47,0.648329,1.12823,1,1,0,4985.52,0.0101844,0.998177
-4984.84,0.480698,0.801311,2,3,0,4987.96,-0.00278314,1.00427
-4985.49,0.950782,0.387054,2,7,0,4985.98,0.00974243,1.00148
-4984.6,0.961798,0.559268,2,3,0,4986.09,-0.00417022,1.00151
-4984.76,0.5882,0.824846,2,3,0,4985.93,0.00335936,0.997977
-4985.93,0.813961,0.516079,2,3,0,4986.79,-0.017786,1.00511
-4987.73,0.796312,0.541885,2,7,0,4989.55,0.00691781,1.01508
-4987.94,0.929401,0.546418,2,3,0,4989.6,0.00715387,0.981931
-4984.71,1,0.742216,2,3,0,4986.81,0.00236027,0.997159
-4984.71,0.00876921,1.17533,1,1,0,4986.22,0.00236027,0.997159
-4984.68,0.999973,0.206372,2,3,0,4984.72,0.00215067,0.997679
-4984.67,0.979467,0.327424,3,7,0,4985.49,-0.00764344,0.995693
-4984.56,0.967267,0.493975,1,3,0,4985.01,-0.00378854,1.00088
-4985.07,0.68129,0.722229,2,3,0,4986.32,-0.00481688,1.00601
-4985.35,0.953768,0.566484,2,3,0,4986.01,0.0084294,1.00191
-4985.08,1,0.800346,2,3,0,4985.6,-0.0114354,0.993405
-4985.08,1.13582e-05,1.24332,1,1,0,4987.13,-0.0114354,0.993405
-4985.24,0.996533,0.229304,2,3,0,4985.27,-0.0125619,0.992801
