# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanGaussian_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanGaussian_1.data.R
# init = 2 (Default)
# random
#   seed = 1750260049
# output
#   file = CmdStanGaussian_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
-3.41123,0.79365,1.3063,3,7,0,4.05037,-0.110638,0.586742
-1.90027,1,1.31411,1,1,0,2.86242,0.0227909,0.702914
-1.90027,3.9239e-09,2.25483,1,1,0,3.89456,0.0227909,0.702914
-2.24835,0.996696,0.294083,4,15,0,2.42638,0.145801,0.962819
-1.66583,0.996407,0.501877,2,7,0,2.64002,0.132576,0.768359
-1.65473,0.999317,0.848909,3,7,0,1.73596,0.136422,0.686518
-1.7484,0.959314,1.43501,2,7,0,1.99595,0.306894,0.713095
-1.7484,0.416062,2.17848,2,3,0,3.02019,0.306894,0.713095
-2.39306,0.97782,0.856973,3,7,0,2.58619,-0.102691,0.766434
-4.19756,0.941228,1.3581,2,3,0,4.23263,-0.330458,1.15194
-4.41799,0.771189,1.95545,2,3,0,4.6235,0.452499,0.505136
-2.56675,1,1.85535,1,3,0,4.87529,-0.129889,0.747705
-2.56675,0.0131101,3.05439,2,3,0,3.26679,-0.129889,0.747705
-2.37542,0.989683,0.472585,4,15,0,3.92029,0.185842,0.551864
-2.7439,0.948331,0.760946,2,3,0,3.5619,0.364089,0.562325
-4.36842,0.404477,1.10427,2,3,0,4.66726,-0.1895,1.32205
-4.36842,0,5.37974,0,1,1,5.16144,-0.1895,1.32205
-7.27717,0.951686,0.659613,3,7,0,7.98299,0.901437,0.685516
-7.27717,0.20489,0.684043,3,7,0,12.1188,0.901437,0.685516
-3.57788,0.999783,0.102189,4,15,0,7.59714,0.642395,0.745401
-2.56454,0.999889,0.151225,4,15,0,3.84275,0.364416,0.994473
-2.31053,0.9987,0.248399,3,15,0,2.89116,0.152922,0.55995
-3.45246,0.914992,0.432933,3,7,0,5.06377,-0.262068,0.989744
-3.61495,0.952225,0.602266,2,7,0,4.00505,-0.193532,1.13295
-5.04703,0.93153,0.960392,2,7,0,5.27015,0.436645,0.475139
-5.04703,0.203517,1.45082,1,3,0,5.45514,0.436645,0.475139
-4.26581,1,0.220983,2,3,0,5.11896,0.428017,0.501182
-2.26528,1,0.419764,3,7,0,4.3334,0.412892,0.661587
-2.2735,0.990549,0.797276,2,7,0,2.59107,0.306001,0.947967
-5.48005,0.113387,1.46524,2,3,0,5.64537,0.880526,0.837573
-4.74827,1,0.176817,4,15,0,6.01422,0.7738,1.19105
-3.39674,0.999804,0.336682,2,7,0,5.3103,0.593369,1.01948
-2.29721,1,0.636001,2,3,0,3.37166,0.409138,0.88711
-2.29721,0.0212245,1.19206,1,1,0,4.30259,0.409138,0.88711
-1.62188,0.999257,0.116769,4,31,0,3.44923,0.144624,0.720399
-1.71834,0.990328,0.219569,2,7,0,2.64534,0.120099,0.665746
-2.09031,0.99095,0.398267,3,7,0,2.25208,0.408928,0.725785
-2.16243,0.995759,0.716929,3,7,0,2.51653,0.050165,0.914551
-4.03594,0.366734,1.29625,2,7,0,4.06585,-0.0819998,1.29722
-5.64083,0.964978,0.378779,2,7,0,7.93659,-0.467897,1.43107
-1.76891,0.896237,0.624605,2,5,0,5.76885,0.116216,0.814575
-2.04457,0.911719,0.840689,2,3,0,2.58586,0.399182,0.770861
-2.00277,0.845884,1.17601,2,3,0,2.67116,0.00484949,0.82001
-1.85131,1,1.36184,2,3,0,2.0095,0.339176,0.772435
-1.85131,7.44982e-08,2.40784,1,1,0,2.52859,0.339176,0.772435
-1.68795,0.994912,0.272676,2,7,0,2.55464,0.266472,0.762006
-2.63194,0.963481,0.477349,2,7,0,2.86951,0.263409,1.04348
-2.22023,0.981189,0.760784,2,7,0,3.23637,-0.0634877,0.73716
-2.22023,0.0111306,1.26164,2,3,0,7.54073,-0.0634877,0.73716
-2.47015,0.997292,0.158657,4,31,0,2.95184,0.0649645,0.999322
-1.65752,0.997964,0.275673,2,7,0,2.83902,0.127816,0.757286
-1.84189,0.992667,0.475638,3,7,0,1.88845,0.203931,0.617662
-1.74434,0.999458,0.802565,2,7,0,1.90458,0.270872,0.663708
-1.92729,0.875803,1.36688,2,7,0,1.96083,0.32341,0.833805
-1.92729,0.303331,1.68477,1,1,0,3.1405,0.32341,0.833805
-1.74731,0.999588,0.4864,3,7,0,2.00724,0.268116,0.660639
-4.9121,0.301356,0.821719,1,1,0,4.9174,0.431166,0.477698
-6.24848,0.983276,0.241666,3,7,0,8.15311,0.367202,0.422499
-5.51409,1,0.39104,1,1,0,6.47992,0.317871,0.430224
-2.33771,1,0.654663,3,7,0,4.57404,0.278232,0.566573
-2.33771,0.0765335,1.08791,2,5,0,6.1168,0.278232,0.566573
-4.0996,0.962718,0.191679,4,15,0,6.52477,-0.30506,1.15472
-3.90311,0.998322,0.291576,3,7,0,4.39663,-0.312176,1.07671
-2.25037,0.971185,0.480084,3,7,0,4.38196,0.143243,0.963039
-2.25743,0.924719,0.736099,2,3,0,3.36994,-0.0220825,0.650367
-3.15886,0.888309,1.00569,2,3,0,3.39003,0.42468,1.10341
-2.71899,1,1.25643,2,3,0,3.01056,0.164165,0.526866
-2.71899,0.153951,2.02932,1,3,0,2.78957,0.164165,0.526866
-1.88531,0.967148,0.460945,3,7,0,3.85991,0.297086,0.837099
-1.97854,0.980888,0.69048,2,3,0,2.3311,0.37738,0.783458
-2.5564,0.603349,1.06172,2,3,0,3.06163,0.15367,1.03422
-3.59577,0.949515,0.689742,2,3,0,4.00314,0.381312,1.21755
-4.91372,0.866676,0.982781,1,1,0,4.94643,0.360849,1.50279
-3.88844,1,1.15805,2,3,0,5.53019,0.0688189,1.30489
-3.88844,6.83957e-09,1.8324,1,1,0,4.39292,0.0688189,1.30489
-3.84726,0.998497,0.315322,3,7,0,4.57751,-0.0552782,1.26572
-1.7504,0.99753,0.498344,3,7,0,4.15145,0.229815,0.816489
-2.76244,0.918664,0.781662,4,15,0,2.87719,-0.128696,0.947389
-1.65635,0.949966,1.02738,1,3,0,2.92836,0.135267,0.762978
-2.17169,0.639866,1.44027,1,1,0,2.26008,0.0850246,0.591453
-1.80931,1,1.03259,1,1,0,2.07368,0.0864769,0.658072
-1.80931,0.365479,1.60466,1,3,0,2.89926,0.0864769,0.658072
-3.23462,0.868315,0.643892,2,3,0,3.73651,0.367196,0.528846
-2.97812,1,0.755631,2,3,0,3.5608,0.321772,0.529037
-2.53072,0.800068,1.16758,1,3,0,3.46895,-0.00928021,0.599061
-2.50796,0.823966,1.18192,2,3,0,3.14642,0.138433,1.02228
-3.88853,0.864636,1.2572,2,3,0,4.37608,-0.307664,0.75619
