# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanPoisson2_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanPoisson2_1.data.R
# init = 2 (Default)
# random
#   seed = 2089483631
# output
#   file = CmdStanPoisson2_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a0,a0s.1,a0s.2,a0s.3,a0s.4,a0s.5,a0s.6,a0s.7,a0s.8,a0s.9,a0s.10,a1,a0_sig
13516.6,0.999065,0.00292834,8,511,0,-13507.6,1.38875,-0.224932,0.222827,-0.505924,0.0886571,0.141848,0.246277,-0.0883053,0.411343,-0.0989186,0.19465,0.468232,0.420629
13515.8,0.0935235,0.00474618,2,5,1,-13509.4,1.38322,-0.21933,0.219407,-0.508081,0.0839403,0.145055,0.247104,-0.0803197,0.412951,-0.103242,0.194266,0.474087,0.424248
13518.4,0.999034,0.00106743,10,1023,0,-13512.2,0.67374,-0.115384,0.0905748,-0.218937,-0.0510609,-0.139364,0.142494,-0.0792942,0.485865,-0.139502,0.139586,0.560932,0.180433
13519.8,0.961697,0.00172955,8,383,0,-13515,1.01273,-0.245183,0.0673075,-0.377501,0.18531,-0.0602361,0.179713,-0.0554916,0.42738,-0.147224,0.124996,0.519862,0.24031
13515.6,0.96689,0.00257148,9,511,0,-13512.2,0.471611,-0.224053,0.135997,-0.226552,0.444305,-0.0766946,0.0597225,-0.114982,0.630956,-0.226549,0.0955624,0.579705,0.445227
13516.8,0.244407,0.00384791,8,383,0,-13507.8,1.69645,-0.329106,0.170877,-0.459576,-0.132989,-0.00834246,0.168282,-0.262951,0.215848,-0.236476,0.0609833,0.452057,0.320085
13518.2,0.999925,0.00123349,10,1023,0,-13511.4,0.69484,-0.254473,0.131255,-0.153889,0.0942791,-0.0735774,0.11147,0.0117429,0.553287,-0.117793,0.17562,0.552043,0.176284
13518.1,0.989286,0.00197763,7,255,0,-13511.6,0.596322,-0.23112,0.168056,-0.0868795,0.00904468,-0.0868058,0.153539,0.0394681,0.511951,-0.0952962,0.167346,0.561799,0.176248
13515.9,0.566139,0.00308398,8,255,0,-13511.7,0.410599,-0.204174,0.0455868,-0.288824,0.199453,-0.203623,-0.00549221,-0.183273,0.506041,-0.176207,0.0719286,0.591791,0.148298
13516.2,0.925875,0.00197482,10,1023,0,-13511.7,2.07304,-0.268158,0.190078,-0.671981,-0.606291,0.105532,0.346105,-0.260274,0.204295,-0.166866,0.146449,0.402628,0.429308
13517,0.557547,0.00268508,9,511,0,-13510,0.386327,-0.0703101,0.260943,-0.266091,0.418416,-0.0478826,0.254903,0.0488402,0.651644,-0.0500014,0.200096,0.579094,0.229745
13515.3,0.999107,0.00169759,9,511,0,-13511.3,0.626502,-0.510148,-0.139646,-0.288123,-0.0589137,-0.407647,-0.102792,-0.309847,0.330832,-0.42889,-0.0987799,0.591507,0.291
13517,0.867587,0.00267613,9,511,0,-13509.4,1.42022,-0.289469,0.182616,-0.357872,-0.163491,0.0970205,0.286185,-0.198429,0.379315,-0.177356,0.139762,0.47247,0.412294
13515.5,0.469844,0.00320671,8,319,0,-13508.4,1.16542,-0.293841,0.0820273,-0.409388,0.00383964,0.0488029,0.185159,-0.165113,0.318359,-0.12418,0.0764258,0.505966,0.164416
13510.5,0.988542,0.00170505,7,127,0,-13504.6,1.09188,-0.00389253,0.163216,-0.37589,0.0448648,-0.123191,0.125913,-0.0867251,0.426009,-0.290623,0.150165,0.513107,0.153801
13513,0.993551,0.00261105,7,127,0,-13506.2,1.01094,-0.413841,0.00357613,-0.3827,-0.038521,-0.119405,0.109944,-0.21096,0.277751,-0.112441,0.0374334,0.527732,0.147406
13513.9,0.0609602,0.00402105,6,63,0,-13505,1.07127,-0.23494,0.166248,-0.339817,0.00356549,-0.0476602,0.142351,-0.231401,0.450463,-0.295794,0.104632,0.517148,0.138247
13516.2,0.993311,0.000948329,9,767,0,-13504.9,0.61768,-0.186665,0.218369,-0.436525,0.0957815,-0.0681902,0.175658,-0.0433751,0.677013,-0.255319,0.242261,0.560117,0.322852
13515.6,0.999918,0.00146026,8,511,0,-13511.1,0.523789,-0.0516421,0.227822,-0.410882,0.141556,-0.000984027,0.285261,0.0561814,0.5846,0.0472518,0.214733,0.55939,0.330598
13517.8,0.954175,0.00226823,7,127,0,-13512.2,0.559763,-0.0588458,0.276678,-0.372142,0.11929,0.00576468,0.302428,0.0519089,0.641982,-0.0112584,0.319941,0.554449,0.325265
13518.6,0.682474,0.00320421,7,255,0,-13513.8,0.71657,-0.135716,0.229563,-0.225909,0.245521,0.0375422,0.218575,-0.0773958,0.714207,-0.112818,0.183855,0.542875,0.29107
13518.8,0.871837,0.00264213,8,383,0,-13514.3,0.89788,-0.121594,0.168073,-0.320387,-0.13836,-0.0424967,0.166974,-0.0768884,0.367502,-0.177725,0.120673,0.528942,0.242522
13517.6,0.99864,0.00316254,7,255,0,-13511.8,0.982176,-0.376882,-0.0433395,-0.393084,0.0756971,-0.211157,0.0531297,-0.322216,0.401014,-0.322272,-0.0307675,0.536169,0.23536
13517.6,0.1482,0.00483836,2,5,1,-13507.1,0.988067,-0.37454,-0.0458123,-0.388668,0.0728383,-0.220781,0.0422021,-0.318305,0.411655,-0.314698,-0.0277654,0.540804,0.235593
13515,0.999947,0.0014148,8,255,0,-13510.9,0.931244,-0.311984,-0.0695489,-0.47803,-0.0252395,-0.272126,-0.110884,-0.188604,0.4296,-0.335837,-0.0171208,0.546716,0.20321
13508.9,0.905329,0.00216879,7,127,0,-13501.2,0.864727,-0.193238,0.101052,-0.579486,-0.0390711,-0.190434,0.0875896,-0.439856,0.458514,-0.323233,0.0108561,0.547395,0.185959
13518.3,0.998693,0.0027602,6,63,0,-13504.2,0.849543,-0.394252,0.039694,-0.410559,-0.111034,-0.133967,0.0334703,-0.231149,0.394169,-0.235345,0.0944255,0.547045,0.22087
13518.3,0.0134621,0.00419055,3,10,1,-13512.1,0.849543,-0.394252,0.039694,-0.410559,-0.111034,-0.133967,0.0334703,-0.231149,0.394169,-0.235345,0.0944255,0.547045,0.22087
13514.3,0.929065,0.000969229,9,511,0,-13511.8,1.02339,-0.182013,-0.00365173,-0.51361,-0.0210654,-0.117714,0.0439864,-0.130793,0.364448,-0.253967,-0.0522437,0.524661,0.225966
13513.8,0.995565,0.00129019,8,383,0,-13504.2,1.02867,-0.195852,0.0181362,-0.49499,-0.00333409,-0.0811977,-0.0119741,-0.181573,0.235035,-0.348975,0.08018,0.529183,0.205025
13514.9,0.917923,0.00194207,6,63,0,-13510.8,1.0324,-0.194335,0.0212344,-0.494647,-0.0126212,-0.0987198,0.00715131,-0.172656,0.240148,-0.35457,0.0919621,0.526768,0.204378
13514.4,0.561015,0.00251671,8,319,0,-13508.5,0.989755,-0.0161499,0.197326,-0.427483,0.0708986,0.071389,0.179585,0.0135491,0.501357,-0.0378061,0.141897,0.515069,0.375989
13517.5,0.909335,0.00166765,8,511,0,-13508.5,1.47782,-0.325385,0.153455,-0.321063,-0.233724,0.0280535,0.186775,-0.263026,0.424461,-0.131349,0.0898053,0.47007,0.250315
13518.4,0.951662,0.00212277,8,383,0,-13513.3,1.36762,-0.24921,0.113169,-0.320868,-0.316365,-0.0709931,0.178846,-0.21656,0.311789,-0.165134,0.147926,0.484602,0.223156
13516.2,0.999941,0.00291653,8,511,0,-13511.5,0.812843,-0.0535707,0.217359,-0.156028,0.443741,0.00444284,0.266847,-0.0371864,0.609658,-0.167985,0.234434,0.53174,0.301085
13516.2,0.000696578,0.00436878,1,3,0,-13512.9,0.812843,-0.0535707,0.217359,-0.156028,0.443741,0.00444284,0.266847,-0.0371864,0.609658,-0.167985,0.234434,0.53174,0.301085
13515.2,0.998724,0.00103616,9,511,0,-13511.5,0.424644,-0.00955674,0.310774,-0.379244,0.0518585,0.0265757,0.347675,0.116101,0.706731,0.0152526,0.309549,0.565844,0.312587
13517.1,0.957251,0.00154969,9,511,0,-13505.1,0.331103,-0.256814,0.157409,-0.00984603,0.222415,-0.136173,0.0862036,0.0692566,0.633254,-0.160154,0.147463,0.591701,0.244494
13513.3,0.997858,0.00214124,7,255,0,-13508,0.333366,-0.20075,0.223321,-0.127365,0.3306,-0.156344,0.216315,0.106982,0.701894,-0.212895,0.246384,0.587345,0.23027
13514.4,0.786753,0.101646,5,63,0,-13507.6,0.661244,-0.127806,0.0808397,-0.284496,0.219747,-0.0600159,0.0513649,-0.221945,0.456649,-0.0840146,0.0769857,0.558475,0.282058
13514.4,0,0.99227,0,1,1,-13506.7,0.661244,-0.127806,0.0808397,-0.284496,0.219747,-0.0600159,0.0513649,-0.221945,0.456649,-0.0840146,0.0769857,0.558475,0.282058
13514.4,0.0258469,0.149492,1,3,0,-13510.4,0.661244,-0.127806,0.0808397,-0.284496,0.219747,-0.0600159,0.0513649,-0.221945,0.456649,-0.0840146,0.0769857,0.558475,0.282058
13515,0.999997,0.0147929,7,127,0,-13510.6,0.498466,-0.211146,0.117559,-0.287509,0.21231,-0.230386,0.139664,-0.0272343,0.646494,-0.327753,0.119817,0.578103,0.241633
13513.2,0.996915,0.0192994,8,383,0,-13502.8,0.418699,-0.0137473,0.102557,-0.247212,0.206192,-0.146149,0.100788,0.179492,0.690176,-0.149583,0.108116,0.585143,0.355745
13511.7,0.960264,0.0292165,6,63,0,-13507.3,0.137562,-0.22879,0.21357,-0.282461,0.290678,-0.102356,0.15786,-0.208717,0.659264,-0.167268,0.214465,0.607801,0.398326
13515,0.99669,0.0433661,5,63,0,-13503.9,0.0428574,-0.129206,0.147174,-0.327096,0.310805,-0.102254,0.16278,-0.0292918,0.55318,-0.136457,0.176706,0.621627,0.326198
13515.8,0.886189,0.0759128,6,127,0,-13506.4,1.00772,-0.0767352,0.252626,-0.273023,0.254564,0.0416682,0.25175,-0.0446492,0.719551,-0.0996305,0.244378,0.509161,0.380752
13512.8,0.283236,0.0970674,5,63,0,-13507,0.660933,-0.168574,0.216228,-0.674167,0.288497,0.0322051,0.200692,0.026946,0.463744,-0.0594351,0.251778,0.549858,0.313316
13513.4,0.999514,0.0187681,9,511,0,-13503.7,0.709036,-0.372831,-0.173658,-0.527083,-0.0174459,-0.441608,-0.21217,-0.441023,0.442842,-0.446239,-0.138176,0.585697,0.251805
13516.7,0.999578,0.0350768,7,255,0,-13506.7,-0.132725,-0.094622,0.101546,-0.109492,0.290809,-0.201829,0.0240724,0.0192978,0.87274,-0.173882,0.136968,0.64621,0.420351
13516.1,0.959963,0.0661392,5,63,0,-13512.4,-0.107046,-0.128464,0.124805,-0.227627,0.333106,-0.242139,0.0105653,-0.0210003,0.840742,-0.141237,0.106964,0.646147,0.479841
13516.1,0.121904,0.110359,2,7,1,-13507.1,-0.107046,-0.128464,0.124805,-0.227627,0.333106,-0.242139,0.0105653,-0.0210003,0.840742,-0.141237,0.106964,0.646147,0.479841
13516.2,0.998609,0.0132971,10,1023,0,-13510.9,0.85885,-0.340445,-0.00982122,-0.572731,0.138516,-0.172124,0.0704746,-0.369678,0.354956,-0.335625,0.0229084,0.5484,0.292754
13514.8,0.948776,0.0252955,6,63,0,-13508.3,0.983726,-0.266416,-0.0246273,-0.646486,0.186607,-0.282707,-0.00860873,-0.299572,0.383837,-0.327657,0.039504,0.541577,0.245469
13518,0.999468,0.0410537,7,255,0,-13507.8,0.876498,-0.36619,0.0857708,-0.263424,0.0400935,-0.0965733,0.0968715,-0.192999,0.390054,-0.165228,0.0185643,0.542403,0.209129
13519.9,1,0.0775452,5,31,0,-13515.4,0.816779,-0.226419,0.118836,-0.249887,0.083223,-0.135812,0.10947,-0.14242,0.482339,-0.30213,0.109551,0.545301,0.199798
